COOPID,WBNID,CD,ELEM,UN,YEAR,A,S,MO,DA,  JAN ,F,F,MO,DA,  FEB ,F,F,MO,DA,  MAR ,F,F,MO,DA,  APR ,F,F,MO,DA,  MAY ,F,F,MO,DA,  JUN ,F,F,MO,DA,  JUL ,F,F,MO,DA,  AUG ,F,F,MO,DA,  SEP ,F,F,MO,DA,  OCT ,F,F,MO,DA,  NOV ,F,F,MO,DA,  DEC ,F,F,MO,DA,ANNUAL,F,F
040693,99999,04,TPCP,HI,1959,9,9,01,00, 00469, , ,02,00, 00463, , ,03,00, 00058, , ,04,00, 00036, , ,05,00, 00003, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00000,T, ,09,00, 00262, , ,10,00, 00004, , ,11,00, 00000, , ,12,00, 00154, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1960,9,9,01,00, 00396, , ,02,00, 00356, , ,03,00, 00244, , ,04,00, 00105, , ,05,00, 00100, , ,06,00, 00000, , ,07,00, 00000,T, ,08,00, 00000, , ,09,00, 00000,T, ,10,00, 00033, , ,11,00, 00389, , ,12,00, 00139, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1961,9,9,01,00, 00273, , ,02,00, 00138, , ,03,00, 00314, , ,04,00, 00111, , ,05,00, 00076, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00012, , ,09,00, 00036, , ,10,00, 00012, , ,11,00, 00450, , ,12,00, 00245, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1962,9,9,01,00, 00192, , ,02,00, 00883, , ,03,00, 00292, , ,04,00, 00066, , ,05,00, 00000, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00012, , ,09,00, 00041, , ,10,00, 00705, , ,11,00, 00094, , ,12,00, 00350, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1963,9,9,01,00, 00484, , ,02,00, 00310, , ,03,00, 00351, , ,04,00, 00597, , ,05,00, 00053, , ,06,00, 00008, , ,07,00, 00000, , ,08,00, 00006, , ,09,00, 00010, , ,10,00, 00161, , ,11,00, 00338, , ,12,00, 00060, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1964,9,9,01,00, 00496, , ,02,00, 00016, , ,03,00, 00221, , ,04,00, 00005, , ,05,00, 00032, , ,06,00, 00076, , ,07,00, 00000,T, ,08,00, 00001, , ,09,00, 00000, , ,10,00, 00128, , ,11,00, 00363, , ,12,00, 00827, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1965,9,9,01,00, 00453, , ,02,00, 00088, , ,03,00, 00210, , ,04,00, 00379, , ,05,00, 00000, , ,06,00, 00000, , ,07,00, 00002, , ,08,00, 00018, , ,09,00, 00000,T, ,10,00, 00017, , ,11,00, 00577, , ,12,00, 00356, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1966,9,9,01,00, 00476, , ,02,00, 00338, , ,03,00, 00067, , ,04,00, 00073, , ,05,00, 00016, , ,06,00, 00012, , ,07,00, 00009, , ,08,00, 00017, , ,09,00, 00013, , ,10,00, 00000, , ,11,00, 00492, , ,12,00, 00448, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1967,9,9,01,00, 01034, , ,02,00, 00035, , ,03,00, 00560, , ,04,00, 00573, , ,05,00, 00007, , ,06,00, 00121, , ,07,00, 00000, , ,08,00, 00000, , ,09,00, 00002, , ,10,00, 00056, , ,11,00, 00156, , ,12,00, 00223, , ,13,99,-99999,M, 
040693,99999,04,TPCP,HI,1968,9,9,01,00, 00616, , ,02,00, 00304, , ,03,00, 00384, , ,04,00, 00044, , ,05,00, 00023, , ,06,00, 00000, , ,07,00, 00000, , ,08,00, 00055, , ,09,00, 00000, , ,10,00, 00081, , ,11,00, 00289, , ,12,00, 00513, , ,13,99,-99999,M, 
